x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-3,0,1.79597,-0.478457,0.00621304,0.00312773,0.00428596,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.75,0.25,1.89435,-0.485684,0.0061273,0.00312773,0.00425628,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.75,1.75,1.88689,-0.48488,0.00611406,0.00312773,0.00425168,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.75,0,2.00767,-0.503068,0.00599566,0.00312773,0.00421031,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-1.5,0.75,2.99672,-1.06268,0.00289509,0.00446818,0.00417954,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.5,0.25,2.12575,-0.531406,0.00580132,0.00312773,0.00414151,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.5,1.75,2.1191,-0.529536,0.00578036,0.00312773,0.00413403,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.75,-0.25,2.14428,-0.5368,0.0057742,0.00312773,0.00413182,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-1.5,0.5,3.02862,-1.09296,0.00277794,0.00446818,0.0040941,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.5,0,2.22733,-0.564108,0.00559616,0.00312773,0.00406762,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.5,2,2.21887,-0.561093,0.00556361,0.00312773,0.00405578,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.5,-0.25,2.35121,-0.614405,0.00528722,0.00312773,0.00395375,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-1.5,0.25,3.08054,-1.14389,0.0025851,0.00446818,0.00394945,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.25,0.25,2.36094,-0.61884,0.00524876,0.00312773,0.00393935,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.25,1.75,2.35496,-0.616106,0.00522053,0.00312773,0.00392874,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.25,0,2.4528,-0.664207,0.00497784,0.00312773,0.00383633,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.25,2,2.44513,-0.660175,0.00493729,0.00312773,0.00382067,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.25,-0.25,2.56582,-0.728694,0.00460228,0.00312773,0.00368877,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2,0,2.68262,-0.805418,0.00416297,0.00312773,0.0035083,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2,2,2.67561,-0.800521,0.0041189,0.00312773,0.00348969,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-1.25,0.75,3.24586,-1.31955,0.00197562,0.00446818,0.00345263,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-1.25,0.5,3.27533,-1.35302,0.00188298,0.00446818,0.00337071,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.5,1.25,1.01442,-0.715711,0.00636381,0.00240594,0.00333665,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3.5,1,0.98552,-0.737309,0.00636345,0.00240594,0.00333656,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3.75,1.5,0.88409,-0.823841,0.00636263,0.00240594,0.00333634,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2,-0.25,2.78634,-0.882145,0.00376362,0.00312773,0.00333579,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3.25,1,1.23551,-0.587269,0.00636033,0.00240594,0.00333574,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3.25,1.25,1.25869,-0.577104,0.0063591,0.00240594,0.00333542,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3.75,1,0.735535,-0.987538,0.00635828,0.00240594,0.0033352,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3.5,1.75,1.23274,-0.588521,0.00635809,0.00240594,0.00333515,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.25,2,1.01821,-0.712976,0.00635212,0.00240594,0.00333359,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.5,2,0.990709,-0.733337,0.00634655,0.00240594,0.00333212,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.25,2.25,1.26275,-0.575378,0.00634594,0.00240594,0.00333196,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.5,2.25,1.24069,-0.584949,0.00634327,0.00240594,0.00333126,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.5,1.75,0.740745,-0.980896,0.00634034,0.00240594,0.00333049,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
